id,text
1,"Sample input 1: Please rate the sentiment of this text."
2,"Sample input 2: Please rate the sentiment of this text."
3,"Sample input 3: Please rate the sentiment of this text."
4,"Sample input 4: Please rate the sentiment of this text."
5,"Sample input 5: Please rate the sentiment of this text."
6,"Sample input 6: Please rate the sentiment of this text."
7,"Sample input 7: Please rate the sentiment of this text."
8,"Sample input 8: Please rate the sentiment of this text."
9,"Sample input 9: Please rate the sentiment of this text."
10,"Sample input 10: Please rate the sentiment of this text."
11,"Sample input 11: Please rate the sentiment of this text."
12,"Sample input 12: Please rate the sentiment of this text."
13,"Sample input 13: Please rate the sentiment of this text."
14,"Sample input 14: Please rate the sentiment of this text."
15,"Sample input 15: Please rate the sentiment of this text."
16,"Sample input 16: Please rate the sentiment of this text."
17,"Sample input 17: Please rate the sentiment of this text."
18,"Sample input 18: Please rate the sentiment of this text."
19,"Sample input 19: Please rate the sentiment of this text."
20,"Sample input 20: Please rate the sentiment of this text."
21,"Sample input 21: Please rate the sentiment of this text."
22,"Sample input 22: Please rate the sentiment of this text."
23,"Sample input 23: Please rate the sentiment of this text."
24,"Sample input 24: Please rate the sentiment of this text."
25,"Sample input 25: Please rate the sentiment of this text."
26,"Sample input 26: Please rate the sentiment of this text."
27,"Sample input 27: Please rate the sentiment of this text."
28,"Sample input 28: Please rate the sentiment of this text."
29,"Sample input 29: Please rate the sentiment of this text."
30,"Sample input 30: Please rate the sentiment of this text."
31,"Sample input 31: Please rate the sentiment of this text."
32,"Sample input 32: Please rate the sentiment of this text."
33,"Sample input 33: Please rate the sentiment of this text."
34,"Sample input 34: Please rate the sentiment of this text."
35,"Sample input 35: Please rate the sentiment of this text."
36,"Sample input 36: Please rate the sentiment of this text."
37,"Sample input 37: Please rate the sentiment of this text."
38,"Sample input 38: Please rate the sentiment of this text."
39,"Sample input 39: Please rate the sentiment of this text."
40,"Sample input 40: Please rate the sentiment of this text."
41,"Sample input 41: Please rate the sentiment of this text."
42,"Sample input 42: Please rate the sentiment of this text."
43,"Sample input 43: Please rate the sentiment of this text."
44,"Sample input 44: Please rate the sentiment of this text."
45,"Sample input 45: Please rate the sentiment of this text."
46,"Sample input 46: Please rate the sentiment of this text."
47,"Sample input 47: Please rate the sentiment of this text."
48,"Sample input 48: Please rate the sentiment of this text."
49,"Sample input 49: Please rate the sentiment of this text."
50,"Sample input 50: Please rate the sentiment of this text."
51,"Sample input 51: Please rate the sentiment of this text."
52,"Sample input 52: Please rate the sentiment of this text."
53,"Sample input 53: Please rate the sentiment of this text."
54,"Sample input 54: Please rate the sentiment of this text."
55,"Sample input 55: Please rate the sentiment of this text."
56,"Sample input 56: Please rate the sentiment of this text."
57,"Sample input 57: Please rate the sentiment of this text."
58,"Sample input 58: Please rate the sentiment of this text."
59,"Sample input 59: Please rate the sentiment of this text."
60,"Sample input 60: Please rate the sentiment of this text."
61,"Sample input 61: Please rate the sentiment of this text."
62,"Sample input 62: Please rate the sentiment of this text."
63,"Sample input 63: Please rate the sentiment of this text."
64,"Sample input 64: Please rate the sentiment of this text."
65,"Sample input 65: Please rate the sentiment of this text."
66,"Sample input 66: Please rate the sentiment of this text."
67,"Sample input 67: Please rate the sentiment of this text."
68,"Sample input 68: Please rate the sentiment of this text."
69,"Sample input 69: Please rate the sentiment of this text."
70,"Sample input 70: Please rate the sentiment of this text."
71,"Sample input 71: Please rate the sentiment of this text."
72,"Sample input 72: Please rate the sentiment of this text."
73,"Sample input 73: Please rate the sentiment of this text."
74,"Sample input 74: Please rate the sentiment of this text."
75,"Sample input 75: Please rate the sentiment of this text."
76,"Sample input 76: Please rate the sentiment of this text."
77,"Sample input 77: Please rate the sentiment of this text."
78,"Sample input 78: Please rate the sentiment of this text."
79,"Sample input 79: Please rate the sentiment of this text."
80,"Sample input 80: Please rate the sentiment of this text."
81,"Sample input 81: Please rate the sentiment of this text."
82,"Sample input 82: Please rate the sentiment of this text."
83,"Sample input 83: Please rate the sentiment of this text."
84,"Sample input 84: Please rate the sentiment of this text."
85,"Sample input 85: Please rate the sentiment of this text."
86,"Sample input 86: Please rate the sentiment of this text."
87,"Sample input 87: Please rate the sentiment of this text."
88,"Sample input 88: Please rate the sentiment of this text."
89,"Sample input 89: Please rate the sentiment of this text."
90,"Sample input 90: Please rate the sentiment of this text."
91,"Sample input 91: Please rate the sentiment of this text."
92,"Sample input 92: Please rate the sentiment of this text."
93,"Sample input 93: Please rate the sentiment of this text."
94,"Sample input 94: Please rate the sentiment of this text."
95,"Sample input 95: Please rate the sentiment of this text."
96,"Sample input 96: Please rate the sentiment of this text."
97,"Sample input 97: Please rate the sentiment of this text."
98,"Sample input 98: Please rate the sentiment of this text."
99,"Sample input 99: Please rate the sentiment of this text."
100,"Sample input 100: Please rate the sentiment of this text."
101,"Sample input 101: Please rate the sentiment of this text."
102,"Sample input 102: Please rate the sentiment of this text."
103,"Sample input 103: Please rate the sentiment of this text."
104,"Sample input 104: Please rate the sentiment of this text."
105,"Sample input 105: Please rate the sentiment of this text."
106,"Sample input 106: Please rate the sentiment of this text."
107,"Sample input 107: Please rate the sentiment of this text."
108,"Sample input 108: Please rate the sentiment of this text."
109,"Sample input 109: Please rate the sentiment of this text."
110,"Sample input 110: Please rate the sentiment of this text."
111,"Sample input 111: Please rate the sentiment of this text."
112,"Sample input 112: Please rate the sentiment of this text."
113,"Sample input 113: Please rate the sentiment of this text."
114,"Sample input 114: Please rate the sentiment of this text."
115,"Sample input 115: Please rate the sentiment of this text."
116,"Sample input 116: Please rate the sentiment of this text."
117,"Sample input 117: Please rate the sentiment of this text."
118,"Sample input 118: Please rate the sentiment of this text."
119,"Sample input 119: Please rate the sentiment of this text."
120,"Sample input 120: Please rate the sentiment of this text."
121,"Sample input 121: Please rate the sentiment of this text."
122,"Sample input 122: Please rate the sentiment of this text."
123,"Sample input 123: Please rate the sentiment of this text."
124,"Sample input 124: Please rate the sentiment of this text."
125,"Sample input 125: Please rate the sentiment of this text."
126,"Sample input 126: Please rate the sentiment of this text."
127,"Sample input 127: Please rate the sentiment of this text."
128,"Sample input 128: Please rate the sentiment of this text."
129,"Sample input 129: Please rate the sentiment of this text."
130,"Sample input 130: Please rate the sentiment of this text."
131,"Sample input 131: Please rate the sentiment of this text."
132,"Sample input 132: Please rate the sentiment of this text."
133,"Sample input 133: Please rate the sentiment of this text."
134,"Sample input 134: Please rate the sentiment of this text."
135,"Sample input 135: Please rate the sentiment of this text."
136,"Sample input 136: Please rate the sentiment of this text."
137,"Sample input 137: Please rate the sentiment of this text."
138,"Sample input 138: Please rate the sentiment of this text."
139,"Sample input 139: Please rate the sentiment of this text."
140,"Sample input 140: Please rate the sentiment of this text."
141,"Sample input 141: Please rate the sentiment of this text."
142,"Sample input 142: Please rate the sentiment of this text."
143,"Sample input 143: Please rate the sentiment of this text."
144,"Sample input 144: Please rate the sentiment of this text."
145,"Sample input 145: Please rate the sentiment of this text."
146,"Sample input 146: Please rate the sentiment of this text."
147,"Sample input 147: Please rate the sentiment of this text."
148,"Sample input 148: Please rate the sentiment of this text."
149,"Sample input 149: Please rate the sentiment of this text."
150,"Sample input 150: Please rate the sentiment of this text."
151,"Sample input 151: Please rate the sentiment of this text."
152,"Sample input 152: Please rate the sentiment of this text."
153,"Sample input 153: Please rate the sentiment of this text."
154,"Sample input 154: Please rate the sentiment of this text."
155,"Sample input 155: Please rate the sentiment of this text."
156,"Sample input 156: Please rate the sentiment of this text."
157,"Sample input 157: Please rate the sentiment of this text."
158,"Sample input 158: Please rate the sentiment of this text."
159,"Sample input 159: Please rate the sentiment of this text."
160,"Sample input 160: Please rate the sentiment of this text."
161,"Sample input 161: Please rate the sentiment of this text."
162,"Sample input 162: Please rate the sentiment of this text."
163,"Sample input 163: Please rate the sentiment of this text."
164,"Sample input 164: Please rate the sentiment of this text."
165,"Sample input 165: Please rate the sentiment of this text."
166,"Sample input 166: Please rate the sentiment of this text."
167,"Sample input 167: Please rate the sentiment of this text."
168,"Sample input 168: Please rate the sentiment of this text."
169,"Sample input 169: Please rate the sentiment of this text."
170,"Sample input 170: Please rate the sentiment of this text."
171,"Sample input 171: Please rate the sentiment of this text."
172,"Sample input 172: Please rate the sentiment of this text."
173,"Sample input 173: Please rate the sentiment of this text."
174,"Sample input 174: Please rate the sentiment of this text."
175,"Sample input 175: Please rate the sentiment of this text."
176,"Sample input 176: Please rate the sentiment of this text."
177,"Sample input 177: Please rate the sentiment of this text."
178,"Sample input 178: Please rate the sentiment of this text."
179,"Sample input 179: Please rate the sentiment of this text."
180,"Sample input 180: Please rate the sentiment of this text."
181,"Sample input 181: Please rate the sentiment of this text."
182,"Sample input 182: Please rate the sentiment of this text."
183,"Sample input 183: Please rate the sentiment of this text."
184,"Sample input 184: Please rate the sentiment of this text."
185,"Sample input 185: Please rate the sentiment of this text."
186,"Sample input 186: Please rate the sentiment of this text."
187,"Sample input 187: Please rate the sentiment of this text."
188,"Sample input 188: Please rate the sentiment of this text."
189,"Sample input 189: Please rate the sentiment of this text."
190,"Sample input 190: Please rate the sentiment of this text."
191,"Sample input 191: Please rate the sentiment of this text."
